outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
death,SEP 2021,202138,18-49,all_types,0,290340,33,42360864,527,28264750,0,0.077902094,1.864513219,,23.93405784,,,,,,0
death,SEP 2021,202138,50-64,all_types,2,362027,109,23909112,1064,7775947,0.552444983,0.455893134,13.68322084,24.76847695,30.0140972,,,,,,0
death,SEP 2021,202138,65+,all_types,12,818564,878,22894661,1863,4064015.2,1.46598189,3.834955233,45.84136398,31.27007522,11.95355909,,,,,,1
death,SEP 2021,202138,all_ages,all_types,14,1470931,1020,89164637,3454,40104712.2,0.95177816,1.143951273,8.612454274,9.04880427,7.528689794,0.361224446,0.793976079,11.74018509,32.50108133,14.78657279,1
death,SEP 2021,202138,all_ages,Janssen,0,31917,81,7655918,3454,40104712.2,0,1.058005062,8.612454274,,8.140277,0,1.167697061,11.74018509,,10.05413603,1
death,SEP 2021,202138,all_ages,Moderna,8,653548,383,35141959,3454,40104712.2,1.224087596,1.089865252,8.612454274,7.035815332,7.902311096,0.34245264,0.652304176,11.74018509,34.2826532,17.99802228,1
death,SEP 2021,202138,all_ages,Pfizer,6,781361,553,46302336,3454,40104712.2,0.767890898,1.194324191,8.612454274,11.21572647,7.211152832,0.367977724,0.899083242,11.74018509,31.90460811,13.05795119,1
death,SEP 2021,202139,18-49,all_types,3,353367,32,43113596,433,27733785,0.848975711,0.074222526,1.56127265,1.839007442,21.03502446,,,,,,0
death,SEP 2021,202139,50-64,all_types,3,436210,100,24079844,849,7626483,0.687742143,0.415285082,11.1322611,16.18667871,26.80631106,,,,,,0
death,SEP 2021,202139,65+,all_types,17,1015730,747,22796025,1617,3940589.2,1.673673122,3.276887089,41.03447271,24.51761469,12.52239446,,,,,,1
death,SEP 2021,202139,all_ages,all_types,23,1805307,879,89989465,2899,39300857.2,1.274021538,0.976781004,7.376429438,5.78987813,7.551774047,0.956819902,0.688440991,10.21599303,10.67702815,14.83931545,1
death,SEP 2021,202139,all_ages,Janssen,0,35703,55,7717002,2899,39300857.2,0,0.712712009,7.376429438,,10.34980377,0,0.755292277,10.21599303,,13.52588043,1
death,SEP 2021,202139,all_ages,Moderna,8,767302,353,35432568,2899,39300857.2,1.042614251,0.996258583,7.376429438,7.074936326,7.404131379,0.769449832,0.588461083,10.21599303,13.2770099,17.36052448,1
death,SEP 2021,202139,all_ages,Pfizer,15,997429,471,46775603,2899,39300857.2,1.503866441,1.006935175,7.376429438,4.904976425,7.325624946,1.155776584,0.776695656,10.21599303,8.839072507,13.15314815,1
death,OCT 2021,202140,18-49,all_types,1,424980,14,43783415,361,27263802,0.235305191,0.0319756,1.324099992,5.627160144,41.40972817,,,,,,0
death,OCT 2021,202140,50-64,all_types,4,520031,97,24216656,700,7494561,0.769184914,0.400550761,9.340106779,12.14286267,23.31816009,,,,,,0
death,OCT 2021,202140,65+,all_types,21,1300381,683,22603082,1455,3846852.8,1.614911322,3.021711818,37.82312648,23.42117859,12.51711902,,,,,,1
death,OCT 2021,202140,all_ages,all_types,26,2245392,794,90603153,2516,38605215.8,1.15792699,0.876349193,6.517254075,5.628380832,7.436823276,0.578071733,0.615497782,9.158248935,15.84275516,14.87941827,1
death,OCT 2021,202140,all_ages,Janssen,0,39022,59,7772854,2516,38605215.8,0,0.759051952,6.517254075,,8.586044815,0,0.833214892,9.158248935,,10.99146093,1
death,OCT 2021,202140,all_ages,Moderna,8,879786,301,35641011,2516,38605215.8,0.909312037,0.844532721,6.517254075,7.167236117,7.716994159,0.815143296,0.504915221,9.158248935,11.23513987,18.13819143,1
death,OCT 2021,202140,all_ages,Pfizer,18,1320999,432,47125113,2516,38605215.8,1.362605119,0.916708677,6.517254075,4.782936731,7.109405897,0.495514521,0.706540164,9.158248935,18.48230184,12.96210662,1
death,OCT 2021,202141,18-49,all_types,0,656392,20,44155434,315,26851277,0,0.0452945,1.173128563,,25.90000042,,,,,,0
death,OCT 2021,202141,50-64,all_types,7,747262,86,24169030,666,7377864,0.936753107,0.355827272,9.027002937,9.636480384,25.3690587,,,,,,0
death,OCT 2021,202141,65+,all_types,22,2301942,630,21706313,1312,3768218.8,0.955714783,2.902381441,34.81751113,36.43085964,11.99618721,,,,,,1
death,OCT 2021,202141,all_ages,all_types,29,3705596,736,90030777,2293,37997359.8,0.782600154,0.817498221,6.034629806,7.711000024,7.381826228,0.351987147,0.594504047,8.488466446,24.11584204,14.27823157,1
death,OCT 2021,202141,all_ages,Janssen,0,42351,72,7824034,2293,37997359.8,0,0.9202414,6.034629806,,6.557659553,0,0.998224127,8.488466446,,8.503567706,1
death,OCT 2021,202141,all_ages,Moderna,6,974123,287,35801767,2293,37997359.8,0.615938644,0.801636411,6.034629806,9.797452818,7.527888859,0.233088306,0.482196995,8.488466446,36.41738449,17.60373155,1
death,OCT 2021,202141,all_ages,Pfizer,23,2681572,376,46342214,2293,37997359.8,0.857705853,0.81135528,6.034629806,7.035780138,7.437715582,0.408488332,0.668107955,8.488466446,20.78019318,12.70523181,1
death,OCT 2021,202142,18-49,all_types,1,968014,19,44383457,283,26474971,0.103304291,0.0428087,1.068934127,10.347432,24.96999571,,,,,,0
death,OCT 2021,202142,50-64,all_types,5,1062733,81,24013867,552,7262925,0.470485061,0.337305108,7.600243703,16.15405958,22.53225203,,,,,,0
death,OCT 2021,202142,65+,all_types,21,3303839,622,20799831,1200,3687187.8,0.635624194,2.990408912,32.5451283,51.20184006,10.88316991,,,,,,1
death,OCT 2021,202142,all_ages,all_types,27,5334586,722,89197155,2035,37425083.8,0.506131122,0.809442857,5.437529575,10.74332191,6.71762006,0.268125699,0.604189799,7.747890972,28.89648774,12.8236044,1
death,OCT 2021,202142,all_ages,Janssen,0,45876,65,7872617,2035,37425083.8,0,0.825646669,5.437529575,,6.585782734,0,0.929925727,7.747890972,,8.33173096,1
death,OCT 2021,202142,all_ages,Moderna,11,1066962,293,35896336,2035,37425083.8,1.030964552,0.816239295,5.437529575,5.274215846,6.661685619,0.755814249,0.497110934,7.747890972,10.25105174,15.58583899,1
death,OCT 2021,202142,all_ages,Pfizer,15,4211843,363,45367111,2035,37425083.8,0.356138631,0.800139114,5.437529575,15.26801392,6.795730242,0.153007411,0.699439055,7.747890972,50.63735758,11.07729246,1
death,OCT 2021,202143,18-49,all_types,0,1286291,20,44528274,263,26096725,0,0.0449153,1.007789292,,22.43755886,,,,,,0
death,OCT 2021,202143,50-64,all_types,5,1406221,71,23807114,501,7123335,0.355562888,0.298230184,7.0332225,19.78053036,23.58320139,,,,,,0
death,OCT 2021,202143,65+,all_types,28,4151489,645,20032695,1154,3537689.8,0.674456803,3.219736536,32.62015794,48.36508102,10.13131279,,,,,,1
death,OCT 2021,202143,all_ages,all_types,33,6844001,736,88368083,1918,36757749.8,0.482174097,0.832879899,5.217947264,10.82170797,6.26494561,0.186675504,0.636664576,7.607726084,40.75374595,11.94934723,1
death,OCT 2021,202143,all_ages,Janssen,1,50088,63,7919555,1918,36757749.8,1.996486184,0.795499242,5.217947264,2.613565426,6.559336563,2.639812102,0.892715975,7.607726084,2.881919542,8.522000614,1
death,OCT 2021,202143,all_ages,Moderna,15,1232534,326,35908365,1918,36757749.8,1.217004967,0.907866454,5.217947264,4.287531609,5.747483279,0.488518425,0.554644689,7.607726084,15.57305866,13.71639581,1
death,OCT 2021,202143,all_ages,Pfizer,17,5549933,346,44480190,1918,36757749.8,0.306310004,0.777874375,5.217947264,17.03485748,6.707956234,0.112057966,0.717766811,7.607726084,67.89098823,10.59916112,1
death,NOV 2021,202144,18-49,all_types,2,1629414,17,44596501,263,25726637,0.122743514,0.0381196,1.022286745,8.328641672,26.81788932,,,,,,0
death,NOV 2021,202144,50-64,all_types,3,1794888,97,23542284,582,6992118,0.167141348,0.412024594,8.323658153,49.80011379,20.20184785,,,,,,0
death,NOV 2021,202144,65+,all_types,40,4988016,655,19275609,1193,3420518.8,0.801922047,3.398076813,34.87775012,43.49269392,10.26396755,,,,,,1
death,NOV 2021,202144,all_ages,all_types,45,8412318,769,87414394,2038,36139273.8,0.534929849,0.879717819,5.639294279,10.54211928,6.4103445,0.247355848,0.685755357,8.26193838,33.40102308,12.04793852,1
death,NOV 2021,202144,all_ages,Janssen,1,77105,73,7946377,2038,36139273.8,1.296932754,0.918657647,5.639294279,4.348177854,6.138624433,1.552264387,0.968267682,8.26193838,5.322507204,8.532700752,1
death,NOV 2021,202144,all_ages,Moderna,7,1557778,367,35751404,2038,36139273.8,0.449357996,1.026533112,5.639294279,12.54966938,5.493533734,0.357440248,0.617384632,8.26193838,23.11418039,13.38215749,1
death,NOV 2021,202144,all_ages,Pfizer,36,6764494,325,43657802,2038,36139273.8,0.532190582,0.744425933,5.639294279,10.5963812,7.575359787,0.225604432,0.715752878,8.26193838,36.62134786,11.54300406,1
death,NOV 2021,202145,18-49,all_types,1,2243285,19,44361861,280,25378539,0.0445775,0.0428296,1.103294402,24.75003782,25.76010152,,,,,,0
death,NOV 2021,202145,50-64,all_types,3,2535924,94,22928997,592,6863332,0.118300075,0.409961238,8.625548057,72.91244777,21.03991123,,,,,,0
death,NOV 2021,202145,65+,all_types,33,6690000,707,17704173,1336,3315240.4,0.493273543,3.993408786,40.29873671,81.69652987,10.09131268,,,,,,1
death,NOV 2021,202145,all_ages,all_types,37,11469209,820,84995031,2208,35557111.4,0.322602893,0.964762281,6.209728274,19.24883011,6.43653716,0.135870767,0.789660834,9.296799513,68.42383919,11.77315515,1
death,NOV 2021,202145,all_ages,Janssen,0,291840,70,7793361,2208,35557111.4,0,0.898200404,6.209728274,,6.913522022,0,1.022063817,9.296799513,,9.096104723,1
death,NOV 2021,202145,all_ages,Moderna,9,3210212,420,34313824,2208,35557111.4,0.280355316,1.223996486,6.209728274,22.14949358,5.073321978,0.073095271,0.773649312,9.296799513,127.187428,12.01681353,1
death,NOV 2021,202145,all_ages,Pfizer,28,7951098,328,42831753,2208,35557111.4,0.352152621,0.765787009,6.209728274,17.63362788,8.108949623,0.16248047,0.764011259,9.296799513,57.21795072,12.16840642,1
death,NOV 2021,202146,18-49,all_types,2,3016281,27,43940794,320,25004776,0.06630682,0.0614463,1.279755516,19.30051123,20.8272124,,,,,,0
death,NOV 2021,202146,50-64,all_types,10,3394862,108,22187094,695,6718902,0.294562783,0.486769471,10.34395203,35.11628969,21.25020704,,,,,,0
death,NOV 2021,202146,65+,all_types,62,8306666,735,16189974,1557,3208720.4,0.746388503,4.539846698,48.52401599,65.01174094,10.68847017,,,,,,1
death,NOV 2021,202146,all_ages,all_types,74,14717809,870,82317862,2572,34932398.4,0.502792229,1.056878761,7.362792473,14.64380721,6.966544077,0.228219239,0.909905449,11.15524671,48.87951944,12.25978669,1
death,NOV 2021,202146,all_ages,Janssen,0,535587,110,7620466,2572,34932398.4,0,1.443481278,7.362792473,,5.100719064,0,1.686520543,11.15524671,,6.614355668,1
death,NOV 2021,202146,all_ages,Moderna,21,5075389,399,32643045,2572,34932398.4,0.413761389,1.222312441,7.362792473,17.79477901,6.023658296,0.239821065,0.821616171,11.15524671,46.51487444,13.57719955,1
death,NOV 2021,202146,all_ages,Pfizer,53,9087316,359,42001487,2572,34932398.4,0.583230516,0.854731643,7.362792473,12.62415507,8.61415689,0.24610933,0.885524297,11.15524671,45.32638698,12.59733555,1
death,NOV 2021,202147,18-49,all_types,4,3895139,21,43371855,305,24655228,0.102692099,0.0484185,1.237060148,12.04630307,25.54933018,,,,,,0
death,NOV 2021,202147,50-64,all_types,16,4240520,126,21443425,662,6582028,0.377312216,0.5875927,10.05769043,26.65614838,17.11677225,,,,,,0
death,NOV 2021,202147,65+,all_types,69,9587855,735,14989994,1459,3143771.55,0.719660445,4.903270809,46.40922461,64.48766902,9.464952361,,,,,,1
death,NOV 2021,202147,all_ages,all_types,89,17723514,882,79805274,2426,34381027.55,0.502157755,1.105190116,7.05621726,14.05179386,6.384618501,0.26322566,0.983977526,10.71053034,40.68953748,10.88493391,1
death,NOV 2021,202147,all_ages,Janssen,2,755707,98,7465768,2426,34381027.55,0.264652835,1.312657988,7.05621726,26.66216388,5.375518471,0.322877021,1.547846377,10.71053034,33.17216662,6.919633953,1
death,NOV 2021,202147,all_ages,Moderna,38,6748474,391,31134136,2426,34381027.55,0.563090263,1.255856273,7.05621726,12.5312365,5.618650327,0.3914005,0.880710416,10.71053034,27.36463125,12.16123955,1
death,NOV 2021,202147,all_ages,Pfizer,48,10197199,392,41154929,2426,34381027.55,0.470717498,0.952498302,7.05621726,14.99034408,7.408115314,0.183169114,1.014366759,10.71053034,58.47345167,10.55883412,1
death,DEC 2021,202148,18-49,all_types,0,4967033,29,42597971,351,24274665,0,0.06807836,1.445951983,,21.23952436,,,,,,0
death,DEC 2021,202148,50-64,all_types,10,5259152,127,20529351,859,6427819.3,0.190144723,0.618626473,13.36378576,70.28218058,21.60235027,,,,,,1
death,DEC 2021,202148,65+,all_types,103,10793409,770,13862959,1911,3065642.55,0.954286083,5.554369742,62.33603458,65.32216666,11.22288171,,,,,,1
death,DEC 2021,202148,all_ages,all_types,113,21019594,926,76990281,3121,33768126.85,0.537593638,1.202749215,9.242443366,17.19224842,7.684431014,0.200900707,1.113449142,14.22143123,70.78835843,12.77241204,1
death,DEC 2021,202148,all_ages,Janssen,2,979314,110,7304257,3121,33768126.85,0.20422459,1.505971107,9.242443366,45.25627092,6.137198332,0.188005234,1.755570385,14.22143123,75.64380467,8.100746827,1
death,DEC 2021,202148,all_ages,Moderna,41,8468856,389,29572343,3121,33768126.85,0.484126782,1.315418261,9.242443366,19.09095658,7.026239213,0.163463725,0.965474352,14.22143123,87.00053308,14.72999381,1
death,DEC 2021,202148,all_ages,Pfizer,70,11546821,427,40065341,3121,33768126.85,0.606227463,1.065759056,9.242443366,15.24583417,8.672169676,0.236455896,1.159558626,14.22143123,60.14411768,12.26452109,1
death,DEC 2021,202149,18-49,all_types,2,6208887,17,41616567,339,23861021,0.0322119,0.0408491,1.420727135,44.10567119,34.77987412,,,,,,0
death,DEC 2021,202149,50-64,all_types,14,6349443,121,19532214,887,6277541.3,0.220491782,0.619489424,14.12973579,64.08282287,22.80867961,,,,,,1
death,DEC 2021,202149,65+,all_types,104,11687182,732,13027654,1941,3000200.55,0.889863784,5.618816711,64.69567509,72.70289706,11.51411025,,,,,,1
death,DEC 2021,202149,all_ages,all_types,120,24245512,870,74176435,3167,33138762.85,0.49493696,1.17287923,9.556784043,19.30909352,8.148139889,0.216282133,1.107505101,14.76211965,68.25399514,13.32916629,1
death,DEC 2021,202149,all_ages,Janssen,5,1179738,111,7156376,3167,33138762.85,0.423822917,1.551064393,9.556784043,22.54900259,6.161436032,0.404020308,1.842199015,14.76211965,36.53806341,8.01331427,1
death,DEC 2021,202149,all_ages,Moderna,44,10029693,379,28142399,3167,33138762.85,0.438697376,1.346722431,9.556784043,21.78445682,7.09632796,0.194575935,1.018656424,14.76211965,75.86816765,14.49175533,1
